Uniprot Accession	Description	Gene	Peptides.used.for.quantitation	Confidence.score	Molecular weight (Da)	Dataset	Bnumber	Annotated functional COG groups (letter)	Annotated functional COG group (description)	Annotated functional COG class
P0ABH9	ATP-dependent Clp protease ATP-binding subunit ClpA OS=Escherichia coli (strain K12) GN=clpA PE=1 SV=1	clpA	23	1518.37	84136.91889	2	b0882	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0C0V0	Protease do OS=Escherichia coli (strain K12) GN=degP PE=1 SV=1	degP	23	1640.41	49305.44896	2	b0161	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P31554	LPS-assembly protein lptD OS=Escherichia coli (strain K12) GN=lptD PE=1 SV=2	lptD	23	1380.25	89597.20601	2	b0054	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P06612	DNA topoisomerase 1 OS=Escherichia coli (strain K12) GN=topA PE=1 SV=2	topA	23	1185.9	97270.30707	2	b1274	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P11875	Arginyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=argS PE=1 SV=1	argS	23	1294.61	64623.81965	2	b1876	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P04805	Glutamyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=gltX PE=1 SV=1	gltX	23	1464.42	53763.78958	2	b2400	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7V0	30S ribosomal protein S2 OS=Escherichia coli (strain K12) GN=rpsB PE=1 SV=2	rpsB	23	1290.05	26708.79452	2	b0169	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P33363	Periplasmic beta-glucosidase OS=Escherichia coli (strain K12) GN=bglX PE=1 SV=2	bglX	23	1148.94	83389.45193	2	b2132	G	Carbohydrate transport and metabolism	METABOLISM
P0C8J6	D-tagatose-1,6-bisphosphate aldolase subunit GatY OS=Escherichia coli (strain K12) GN=gatY PE=1 SV=1	gatY	23	1240.46	30774.55511	2	b2096	G	Carbohydrate transport and metabolism	METABOLISM
P69786	PTS system glucose-specific EIICB component OS=Escherichia coli (strain K12) GN=ptsG PE=1 SV=1	ptsG	23	1237.08	50625.74752	2	b1101	G	Carbohydrate transport and metabolism	METABOLISM
P05020	Dihydroorotase OS=Escherichia coli (strain K12) GN=pyrC PE=1 SV=2	pyrC	23	1515.82	38784.58103	2	b1062	F	Nucleotide transport and metabolism	METABOLISM
P11447	Argininosuccinate lyase OS=Escherichia coli (strain K12) GN=argH PE=1 SV=3	argH	23	1699.87	50268.64352	2	b3960	E	Amino acid transport and metabolism	METABOLISM
P22106	Asparagine synthetase B [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=asnB PE=1 SV=3	asnB	23	1724.71	62601.08381	2	b0674	E	Amino acid transport and metabolism	METABOLISM
P00509	Aspartate aminotransferase OS=Escherichia coli (strain K12) GN=aspC PE=1 SV=1	aspC	23	1641.47	43527.99762	2	b0928	E	Amino acid transport and metabolism	METABOLISM
P0A836	Succinyl-CoA ligase [ADP-forming] subunit beta OS=Escherichia coli (strain K12) GN=sucC PE=1 SV=1	sucC	23	1617.83	41348.64135	2	b0728	C	Energy production and conversion	METABOLISM
P0AGE9	Succinyl-CoA ligase [ADP-forming] subunit alpha OS=Escherichia coli (strain K12) GN=sucD PE=1 SV=2	sucD	23	1502.7	29740.52945	2	b0729	C	Energy production and conversion	METABOLISM
P0A6H1	ATP-dependent Clp protease ATP-binding subunit ClpX OS=Escherichia coli (strain K12) GN=clpX PE=1 SV=2	clpX	22	1319.8	46309.17173	2	b0438	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A6H5	ATP-dependent protease ATPase subunit HslU OS=Escherichia coli (strain K12) GN=hslU PE=1 SV=1	hslU	22	1236.1	49544.84377	2	b3931	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P30958	Transcription-repair-coupling factor OS=Escherichia coli (strain K12) GN=mfd PE=1 SV=2	mfd	22	1202.99	129883.2773	2	b1114	LK	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P08312	Phenylalanyl-tRNA synthetase alpha chain OS=Escherichia coli (strain K12) GN=pheS PE=1 SV=2	pheS	22	1689.92	36790.65689	2	b1714	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P24182	Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	accC	22	1191.11	49271.30273	2	b3256	I	Lipid transport and metabolism	METABOLISM
P0A953	3-oxoacyl-[acyl-carrier-protein] synthase 1 OS=Escherichia coli (strain K12) GN=fabB PE=1 SV=1	fabB	22	1881.89	42568.05338	2	b2323	IQ	Lipid transport and metabolism	METABOLISM
Q47146	Acyl-coenzyme A dehydrogenase OS=Escherichia coli (strain K12) GN=fadE PE=2 SV=2	fadE	22	1395.13	89149.78105	2	b0221	I	Lipid transport and metabolism	METABOLISM
P0C8J8	D-tagatose-1,6-bisphosphate aldolase subunit gatZ OS=Escherichia coli (strain K12) GN=gatZ PE=1 SV=1	gatZ	22	1516.04	47060.76941	2	b2095	G	Carbohydrate transport and metabolism	METABOLISM
P0A7D4	Adenylosuccinate synthetase OS=Escherichia coli (strain K12) GN=purA PE=1 SV=2	purA	22	1544.12	47297.28625	2	b4177	F	Nucleotide transport and metabolism	METABOLISM
P0A7E5	CTP synthase OS=Escherichia coli (strain K12) GN=pyrG PE=1 SV=2	pyrG	22	1209.43	60318.05938	2	b2780	F	Nucleotide transport and metabolism	METABOLISM
P00895	Anthranilate synthase component 1 OS=Escherichia coli (strain K12) GN=trpE PE=1 SV=2	trpE	22	1161.99	57440.09143	2	b1264	EH	Amino acid transport and metabolism	METABOLISM
P09832	Glutamate synthase [NADPH] small chain OS=Escherichia coli (strain K12) GN=gltD PE=1 SV=3	gltD	22	1254.84	51964.01557	2	b3213	ER	Amino acid transport and metabolism	METABOLISM
P08142	Acetolactate synthase isozyme 1 large subunit OS=Escherichia coli (strain K12) GN=ilvB PE=1 SV=1	ilvB	22	1367.73	60383.77314	2	b3671	EH	Amino acid transport and metabolism	METABOLISM
P26616	NAD-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeA PE=1 SV=4	maeA	22	1291.18	63139.24904	2	b1479	C	Energy production and conversion	METABOLISM
P07014	Succinate dehydrogenase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=sdhB PE=1 SV=1	sdhB	22	1206.05	26734.23452	2	b0724	C	Energy production and conversion	METABOLISM
P37689	2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Escherichia coli (strain K12) GN=gpmI PE=1 SV=1	gpmI	22	1532.01	56140.28406	2		-		
P38054	Cation efflux system protein CusA OS=Escherichia coli (strain K12) GN=cusA PE=1 SV=2	cusA	21	1287.43	114616.0284	2	b0575	P	Inorganic ion transport and metabolism	METABOLISM
P0ABC7	Modulator of FtsH protease HflK OS=Escherichia coli (strain K12) GN=hflK PE=1 SV=1	hflK	21	1460.75	45499.07951	2	b4174	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P02930	Outer membrane protein tolC OS=Escherichia coli (strain K12) GN=tolC PE=1 SV=3	tolC	21	1721.5	53690.18447	2	b3035	MU	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P62399	50S ribosomal protein L5 OS=Escherichia coli (strain K12) GN=rplE PE=1 SV=2	rplE	21	1537.62	20270.69129	2	b3308	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0ABD5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2	accA	21	1388.86	35201.29042	2	b0185	I	Lipid transport and metabolism	METABOLISM
P0A7A7	Glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsB PE=1 SV=2	plsB	21	1093.16	91305.48655	2	b4041	I	Lipid transport and metabolism	METABOLISM
P05459	Erythronate-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxB PE=2 SV=2	pdxB	21	1159.7	41323.77299	2	b2320	HE	Coenzyme transport and metabolism	METABOLISM
P23721	Phosphoserine aminotransferase OS=Escherichia coli (strain K12) GN=serC PE=1 SV=4	serC	21	1252.06	39739.97191	2	b0907	HE	Coenzyme transport and metabolism	METABOLISM
P0A867	Transaldolase A OS=Escherichia coli (strain K12) GN=talA PE=1 SV=1	talA	21	1563.1	35618.46965	2	b2464	G	Carbohydrate transport and metabolism	METABOLISM
P00944	Xylose isomerase OS=Escherichia coli (strain K12) GN=xylA PE=3 SV=1	xylA	21	1227.4	49692.50395	2	b3565	G	Carbohydrate transport and metabolism	METABOLISM
P0AC53	Glucose-6-phosphate 1-dehydrogenase OS=Escherichia coli (strain K12) GN=zwf PE=1 SV=1	zwf	21	1176.15	55651.32689	2	b1852	G	Carbohydrate transport and metabolism	METABOLISM
P08660	Lysine-sensitive aspartokinase 3 OS=Escherichia coli (strain K12) GN=lysC PE=1 SV=2	lysC	21	1470.14	48483.43931	2	b4024	E	Amino acid transport and metabolism	METABOLISM
P07023	T-protein OS=Escherichia coli (strain K12) GN=tyrA PE=1 SV=1	tyrA	21	1161.21	41997.8894	2	b2600	E	Amino acid transport and metabolism	METABOLISM
P0AEM9	Cystine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fliY PE=1 SV=1	fliY	21	1343.12	29003.20238	2	b1920	ET	Amino acid transport and metabolism	METABOLISM
P0AFG6	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex OS=Escherichia coli (strain K12) GN=sucB PE=1 SV=2	sucB	21	1441.27	43965.9951	2	b0727	C	Energy production and conversion	METABOLISM
P22259	Phosphoenolpyruvate carboxykinase [ATP] OS=Escherichia coli (strain K12) GN=pckA PE=1 SV=2	pckA	21	1651.23	59587.99575	2		-		
P0AFK0	Protein pmbA OS=Escherichia coli (strain K12) GN=pmbA PE=1 SV=1	pmbA	20	1315.39	48321.3938	2	b4235	R	General function prediction only	POORLY CHARACTERIZED
P0ADE8	tRNA-modifying protein ygfZ OS=Escherichia coli (strain K12) GN=ygfZ PE=1 SV=2	ygfZ	20	1097.04	36053.36943	2	b2898	R	General function prediction only	POORLY CHARACTERIZED
P05825	Ferrienterobactin receptor OS=Escherichia coli (strain K12) GN=fepA PE=1 SV=2	fepA	20	1254.96	82038.47549	2	b0584	P	Inorganic ion transport and metabolism	METABOLISM
P75780	Catecholate siderophore receptor fiu OS=Escherichia coli (strain K12) GN=fiu PE=1 SV=1	fiu	20	1242.23	81891.90875	2	b0805	P	Inorganic ion transport and metabolism	METABOLISM
P09169	Protease 7 OS=Escherichia coli (strain K12) GN=ompT PE=1 SV=1	ompT	20	1635.49	35522.27435	2	b0565	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A698	UvrABC system protein A OS=Escherichia coli (strain K12) GN=uvrA PE=1 SV=1	uvrA	20	1115.87	103784.5415	2	b4058	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0A9P9	Gluconate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=idnO PE=3 SV=1	idnO	20	1815.51	27527.23456	1	b4266	IQR	Lipid transport and metabolism	METABOLISM
P18843	NH(3)-dependent NAD(+) synthetase OS=Escherichia coli (strain K12) GN=nadE PE=1 SV=2	nadE	20	1181.19	30599.77658	2	b1740	H	Coenzyme transport and metabolism	METABOLISM
P0A6P9	Enolase OS=Escherichia coli (strain K12) GN=eno PE=1 SV=2	eno	20	1590.44	45608.41069	2	b2779	G	Carbohydrate transport and metabolism	METABOLISM
P27302	Transketolase 1 OS=Escherichia coli (strain K12) GN=tktA PE=1 SV=5	tktA	20	1584.03	72147.91979	2	b2935	G	Carbohydrate transport and metabolism	METABOLISM
P0ABP8	Purine nucleoside phosphorylase deoD-type OS=Escherichia coli (strain K12) GN=deoD PE=1 SV=2	deoD	20	1278.35	25915.01852	2	b4384	F	Nucleotide transport and metabolism	METABOLISM
P24171	Peptidyl-dipeptidase dcp OS=Escherichia coli (strain K12) GN=dcp PE=1 SV=4	dcp	20	1362.56	77448.95692	2	b1538	E	Amino acid transport and metabolism	METABOLISM
P37095	Peptidase B OS=Escherichia coli (strain K12) GN=pepB PE=1 SV=2	pepB	20	1453.69	46133.26021	2	b2523	E	Amino acid transport and metabolism	METABOLISM
P09551	Lysine-arginine-ornithine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=argT PE=1 SV=3	argT	20	1428.72	27956.24088	2	b2310	ET	Amino acid transport and metabolism	METABOLISM
P31660	2-methylcitrate synthase OS=Escherichia coli (strain K12) GN=prpC PE=1 SV=2	prpC	20	1179.96	43057.02009	2	b0333	C	Energy production and conversion	METABOLISM
P27306	Soluble pyridine nucleotide transhydrogenase OS=Escherichia coli (strain K12) GN=sthA PE=1 SV=5	sthA	20	1458.79	51509.77384	2	b3962	C	Energy production and conversion	METABOLISM
Q46856	Alcohol dehydrogenase YqhD OS=Escherichia coli (strain K12) GN=yqhD PE=1 SV=1	yqhD	20	1170.24	42052.78947	2	b3011	C	Energy production and conversion	METABOLISM
P11454	Enterobactin synthase component F OS=Escherichia coli (strain K12) GN=entF PE=1 SV=3	entF	19	1083.91	141883.5654	2	b0586	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P0AE06	Acriflavine resistance protein A OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1	acrA	19	1186.07	42153.07723	2	b0463	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P02931	Outer membrane protein F OS=Escherichia coli (strain K12) GN=ompF PE=1 SV=1	ompF	19	1364.11	39291.06024	2	b0929	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A903	Lipoprotein 34 OS=Escherichia coli (strain K12) GN=nlpB PE=1 SV=1	bamC	19	1294.42	36801.60236	2	b2477	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P60906	Histidyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=hisS PE=1 SV=2	hisS	19	1212.13	46982.01028	2	b2514	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7L0	50S ribosomal protein L1 OS=Escherichia coli (strain K12) GN=rplA PE=1 SV=2	rplA	19	1468.25	24696.286	2	b3984	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AEK4	Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Escherichia coli (strain K12) GN=fabI PE=1 SV=2	fabI	19	1462.86	27828.04478	2	b1288	I	Lipid transport and metabolism	METABOLISM
P02943	Maltoporin OS=Escherichia coli (strain K12) GN=lamB PE=1 SV=1	lamB	19	1117.43	49862.58108	2	b4036	G	Carbohydrate transport and metabolism	METABOLISM
P00490	Maltodextrin phosphorylase OS=Escherichia coli (strain K12) GN=malP PE=1 SV=7	malP	19	927.49	90447.61358	2	b3417	G	Carbohydrate transport and metabolism	METABOLISM
P0A796	6-phosphofructokinase isozyme 1 OS=Escherichia coli (strain K12) GN=pfkA PE=1 SV=1	pfkA	19	800.26	34801.68622	2	b3916	G	Carbohydrate transport and metabolism	METABOLISM
P00550	PTS system mannitol-specific EIICBA component OS=Escherichia coli (strain K12) GN=mtlA PE=1 SV=1	mtlA	19	1307.28	67910.6114	2	b3599	G	Carbohydrate transport and metabolism	METABOLISM
P02925	D-ribose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=rbsB PE=1 SV=1	rbsB	19	1150.81	30913.36533	2	b3751	G	Carbohydrate transport and metabolism	METABOLISM
P0AB89	Adenylosuccinate lyase OS=Escherichia coli (strain K12) GN=purB PE=1 SV=1	purB	19	1170.33	51492.59536	2	b1131	F	Nucleotide transport and metabolism	METABOLISM
P18335	Acetylornithine/succinyldiaminopimelate aminotransferase OS=Escherichia coli (strain K12) GN=argD PE=1 SV=4	argD	19	1451.07	43721.10429	2	b3359	E	Amino acid transport and metabolism	METABOLISM
P0A6A6	3-isopropylmalate dehydratase large subunit OS=Escherichia coli (strain K12) GN=leuC PE=1 SV=2	leuC	19	1235.05	49832.04222	2	b0072	E	Amino acid transport and metabolism	METABOLISM
P0A879	Tryptophan synthase beta chain OS=Escherichia coli (strain K12) GN=trpB PE=1 SV=2	trpB	19	1085.02	42937.58854	2	b1261	E	Amino acid transport and metabolism	METABOLISM
P33195	Glycine dehydrogenase [decarboxylating] OS=Escherichia coli (strain K12) GN=gcvP PE=1 SV=3	gcvP	19	1088.83	104291.7423	2	b2903	E	Amino acid transport and metabolism	METABOLISM
P00562	Bifunctional aspartokinase/homoserine dehydrogenase 2 OS=Escherichia coli (strain K12) GN=metL PE=1 SV=3	metL	19	1039.11	88814.63109	2	b3940	E	Amino acid transport and metabolism	METABOLISM
P37902	Glutamate/aspartate periplasmic-binding protein OS=Escherichia coli (strain K12) GN=gltI PE=1 SV=2	gltI	19	1370.85	33381.16628	2	b0655	ET	Amino acid transport and metabolism	METABOLISM
P0A9X4	Rod shape-determining protein mreB OS=Escherichia coli (strain K12) GN=mreB PE=1 SV=1	mreB	19	1233	36911.03451	2	b3251	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P06715	Glutathione reductase OS=Escherichia coli (strain K12) GN=gor PE=1 SV=1	gor	19	1191	48723.63153	2	b3500	C	Energy production and conversion	METABOLISM
P31979	NADH-quinone oxidoreductase subunit F OS=Escherichia coli (strain K12) GN=nuoF PE=1 SV=3	nuoF	19	929.2	49242.93959	2	b2284	C	Energy production and conversion	METABOLISM
P67910	ADP-L-glycero-D-manno-heptose-6-epimerase OS=Escherichia coli (strain K12) GN=hldD PE=1 SV=1	hldD	19	1131.92	34853.12923	2		-		
P0AGD7	Signal recognition particle protein OS=Escherichia coli (strain K12) GN=ffh PE=1 SV=1	ffh	18	1223.97	49737.22258	2	b2610	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P0AG90	Protein-export membrane protein secD OS=Escherichia coli (strain K12) GN=secD PE=3 SV=1	secD	18	1003.3	66572.67588	2	b0408	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P76116	Uncharacterized protein YncE OS=Escherichia coli (strain K12) GN=yncE PE=1 SV=1	yncE	18	1143.63	38571.4174	2	b1452	S	Function unknown	POORLY CHARACTERIZED
P16700	Thiosulfate-binding protein OS=Escherichia coli (strain K12) GN=cysP PE=1 SV=1	cysP	18	1026.7	37573.27827	2	b2425	P	Inorganic ion transport and metabolism	METABOLISM
P60785	Elongation factor 4 OS=Escherichia coli (strain K12) GN=lepA PE=1 SV=1	lepA	18	1104.96	66510.34926	2	b2569	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P06996	Outer membrane protein C OS=Escherichia coli (strain K12) GN=ompC PE=1 SV=1	ompC	18	1285.11	40325.36434	2	b2215	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A8J8	ATP-dependent RNA helicase rhlB OS=Escherichia coli (strain K12) GN=rhlB PE=1 SV=2	rhlB	18	1043.46	47078.44805	2	b3780	LKJ	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P46837	Protein yhgF OS=Escherichia coli (strain K12) GN=yhgF PE=1 SV=3	yhgF	18	967.85	85048.93743	2	b3407	K	Transcription	INFORMATION STORAGE AND PROCESSING
P60240	RNA polymerase-associated protein rapA OS=Escherichia coli (strain K12) GN=rapA PE=1 SV=2	rapA	18	870.09	109682.6916	2	b0059	KL	Transcription	INFORMATION STORAGE AND PROCESSING
P0A7V3	30S ribosomal protein S3 OS=Escherichia coli (strain K12) GN=rpsC PE=1 SV=2	rpsC	18	1108.11	25949.15933	2	b3314	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AB77	2-amino-3-ketobutyrate coenzyme A ligase OS=Escherichia coli (strain K12) GN=kbl PE=1 SV=1	kbl	18	1099.45	43071.72819	2	b3617	H	Coenzyme transport and metabolism	METABOLISM
P0A6K6	Phosphopentomutase OS=Escherichia coli (strain K12) GN=deoB PE=1 SV=1	deoB	18	982.98	44323.944	2	b4383	G	Carbohydrate transport and metabolism	METABOLISM
P21599	Pyruvate kinase II OS=Escherichia coli (strain K12) GN=pykA PE=1 SV=3	pykA	18	1411.98	51306.66919	2	b1854	G	Carbohydrate transport and metabolism	METABOLISM
P0A858	Triosephosphate isomerase OS=Escherichia coli (strain K12) GN=tpiA PE=1 SV=1	tpiA	18	1387.03	26936.80958	2	b3919	G	Carbohydrate transport and metabolism	METABOLISM
P31120	Phosphoglucosamine mutase OS=Escherichia coli (strain K12) GN=glmM PE=1 SV=3	glmM	18	1441.11	47495.53374	2	b3176	G	Carbohydrate transport and metabolism	METABOLISM
P69797	PTS system mannose-specific EIIAB component OS=Escherichia coli (strain K12) GN=manX PE=1 SV=2	manX	18	1234.71	35007.49034	2	b1817	G	Carbohydrate transport and metabolism	METABOLISM
P69441	Adenylate kinase OS=Escherichia coli (strain K12) GN=adk PE=1 SV=1	adk	18	1101.67	23553.271	2	b0474	F	Nucleotide transport and metabolism	METABOLISM
P0AB91	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive OS=Escherichia coli (strain K12) GN=aroG PE=1 SV=1	aroG	18	1710.75	37967.50301	2	b0754	E	Amino acid transport and metabolism	METABOLISM
P21170	Biosynthetic arginine decarboxylase OS=Escherichia coli (strain K12) GN=speA PE=1 SV=2	speA	18	1314.3	73833.42148	2	b2938	E	Amino acid transport and metabolism	METABOLISM
P0AEZ1	5,10-methylenetetrahydrofolate reductase OS=Escherichia coli (strain K12) GN=metF PE=1 SV=1	metF	18	1143.69	33063.77233	2	b3941	E	Amino acid transport and metabolism	METABOLISM
P39346	L-idonate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=idnD PE=1 SV=1	idnD	18	1147.39	37104.31248	1	b4267	ER	Amino acid transport and metabolism	METABOLISM
P25526	Succinate-semialdehyde dehydrogenase [NADP+] OS=Escherichia coli (strain K12) GN=gabD PE=1 SV=1	gabD	18	1025.2	51669.60686	2	b2661	C	Energy production and conversion	METABOLISM
